CODIGO;UBICACIÓN;PARADA TURISTICA
NH85F;Nunez de Bonilla & Av. Hurtado de Mendoza;NULL
HP86; Av. Hurtado de Mendoza & Paseo de los Canaris;Colegio Herlinda Toral
HP86F; Av. Hurtado de Mendoza & Paseo de los Canaris;Colegio Herlinda Toral
HA87; Av. Hurtado de Mendoza & Ave Los Andes ;NULL
HA87F; Av. Hurtado de Mendoza & Ave Los Andes ;NULL
DL88;Av Don Bosco & Av Loja;NULL
DL88F;Av Don Bosco & Av Loja;NULL
DA89;Av. Don Bosco & Av De las Americas;Indurama
DA89F;Av. Don Bosco & Av De las Americas;Indurama
PN90;Ave Paraiso & Nicanor Corral;Paraiso
PN90F;Ave Paraiso & Nicanor Corral;Paraiso
VV91;Ave Veinticuatro de Mayo & Vilcabamba;NULL
VV91F;Ave Veinticuatro de Mayo & Vilcabamba;NULL
AQ92;Ambato & Quito;Colegio Garaicoa
Sayausi93;Cuenca-Molleturo-Naranjal & Av Ordonez Lazo;Sayausi
OB94; Av Ordonez Lazo & Via a Buenos Aires;NULL
OB94F; Av Ordonez Lazo & Via a Buenos Aires;NULL
OT95; Av Ordonez Lazo & del Tahual;NULL
OT95F; Av Ordonez Lazo & del Tahual;NULL
ML96; Av Ordonez Lazo & Monsenor Leonidas Proano;NULL
ML96F; Av Ordonez Lazo & Monsenor Leonidas Proano;NULL
OC97; Av Ordonez Lazo & Ave. De Los Cerezos;Hotel Oro Verde
OC97F; Av Ordonez Lazo & Ave. De Los Cerezos;Hotel Oro Verde
TG98;Tarqui & Gaspar Sangurima;NULL
GB99; Gaspar Sangurima & Benigno Malo;NULL
GH100; Gaspar Sangurima & Hermano Miguel;NULL
GM101; Gaspar Sangurima & Manuel Vega;Mercado 9 De Octubre
MP102;Manuel Vega & Pio Bravo;NULL
HC103;Ave Heroes de Verdeloma & Calle Vieja;Barrial Blanco
HC103F;Ave Heroes de Verdeloma & Calle Vieja;Barrial Blanco
SA104;Sebastian de Benalcazar & Avenue Gil Ramirez Davalos;NULL
SA104F;Sebastian de Benalcazar & Avenue Gil Ramirez Davalos;NULL
AM105;Antonio Vega Munoz & Manuel Vega;NULL
AB106;Antonio Vega Munoz & Benigno Malo;NULL
AJ107;Antonio Vega Munoz & Juan Montalvo;NULL
PT108;Pdte Cordova & Tomas Ordonez;Centro
PB109;Pdte Cordova & Benigno Malo;Parque Calderon
AG110;Alfonso Andrade & Gaspar Sangurima;NULL
GT111; Gaspar Sangurima & Tarqui;NULL
PA112;Pdte Cordova & Avenida Tres de Noviembre;Otorongo
TL113;Avenida Tres de Noviembre & Leon XIII;NULL
